,seed,sampSize,dim,knn,title,data,FP,RAVK1,RAVK2,Proposed,trueInfo
8,10.0,900.0,1.0,7.0,income data,income,2.1663071296632883,-0.09193176208099614,-0.00532729862539701,0.03507928552977458,
9,10.0,1000.0,1.0,7.0,income data,income,2.219005941715974,-0.09611999018946649,-0.007819726407041505,0.02923710254204709,
0,11.0,100.0,1.0,7.0,income data,income,0.8625075695305776,-0.4158448965524193,-0.023941304025237677,0.1009391099853836,
1,11.0,200.0,1.0,7.0,income data,income,1.3831001565854744,-0.5528611091559105,-0.05411715043011518,0.03651275968894034,
2,11.0,300.0,1.0,7.0,income data,income,1.6728198887457082,-0.3191108083564882,-0.035180516075720925,0.05074300565993165,
3,11.0,400.0,1.0,7.0,income data,income,1.8296095297961974,-0.31247852860522535,0.01930456927238509,0.09070349402915859,
4,11.0,500.0,1.0,7.0,income data,income,1.9882105293157541,-0.1947991072801957,0.023285042811786085,0.08905045356959077,
5,11.0,600.0,1.0,7.0,income data,income,2.0628817650203453,-0.12143426317624277,0.010833094634017397,0.0706725873323877,
6,11.0,700.0,1.0,7.0,income data,income,2.15104875235113,-0.09701297596897634,0.0022081551896276468,0.05449927948782108,
7,11.0,800.0,1.0,7.0,income data,income,2.220974662643384,-0.06890523761106,0.013269288649973423,0.05969890313808237,
8,11.0,900.0,1.0,7.0,income data,income,2.257792192153642,-0.058057818394601876,0.025219954071896717,0.06690580066884919,
9,11.0,1000.0,1.0,7.0,income data,income,2.255834737104809,-0.05351551234245543,0.03308551092898259,0.07059029427434026,
0,12.0,100.0,1.0,7.0,income data,income,0.7549286528088756,-0.5967786864454462,-0.01602635000117325,0.09940725135686922,
1,12.0,200.0,1.0,7.0,income data,income,1.1878763874634477,-0.3774936302527936,0.023090219282992718,0.12429212711462263,
2,12.0,300.0,1.0,7.0,income data,income,1.6069131275002881,-0.3447526508283165,0.009338018860916088,0.08747680793498068,
3,12.0,400.0,1.0,7.0,income data,income,1.8109873670969483,-0.3174052356746335,-0.003995359604455399,0.06173666076578828,
4,12.0,500.0,1.0,7.0,income data,income,1.9436032964962342,-0.20905245170720269,0.0019587760285563966,0.06436842972651992,
5,12.0,600.0,1.0,7.0,income data,income,2.0001787528206862,-0.18258224632692643,-0.008559721864921432,0.04622775576713775,
6,12.0,700.0,1.0,7.0,income data,income,2.0541988739513397,-0.17665933711587697,-0.022518828197196125,0.025286487110657743,
7,12.0,800.0,1.0,7.0,income data,income,2.1675213628953536,-0.09095254195997766,-0.006515700902246838,0.03913664741352227,
8,12.0,900.0,1.0,7.0,income data,income,2.167925356252637,-0.09722457143677946,-0.009463783916703777,0.031133495981923626,
9,12.0,1000.0,1.0,7.0,income data,income,2.195375048002471,-0.08904369469273023,-0.007784756489127091,0.02895597768641822,
0,13.0,100.0,1.0,7.0,income data,income,0.5998340716063962,-0.3719366509033853,-0.09301826897189837,0.035434913864381294,
1,13.0,200.0,1.0,7.0,income data,income,1.1117564741591865,-0.32614399230164365,-0.002249982875572234,0.10113912286351553,
2,13.0,300.0,1.0,7.0,income data,income,1.5526360890092128,-0.27669604827056876,-0.03694390465397497,0.05078248927304971,
3,13.0,400.0,1.0,7.0,income data,income,1.7246470114781571,-0.30001350515564434,-0.03562931750772378,0.03474279859940228,
4,13.0,500.0,1.0,7.0,income data,income,2.0185665841783487,-0.14583784143040945,-0.014632280600995567,0.05259610094502576,
5,13.0,600.0,1.0,7.0,income data,income,2.130536883783453,-0.10511526113454198,-0.008314992786346252,0.05098672136306278,
6,13.0,700.0,1.0,7.0,income data,income,2.144449268240154,-0.10492123637600183,-0.014002180564870516,0.03697658330068507,
7,13.0,800.0,1.0,7.0,income data,income,2.184615660893189,-0.08423341995759445,-0.004027991495757857,0.041222470545870415,
8,13.0,900.0,1.0,7.0,income data,income,2.2208972548256667,-0.08342051377700449,-0.00680747376939944,0.03373660055869107,
9,13.0,1000.0,1.0,7.0,income data,income,2.2381094926692686,-0.06969835747316228,-0.0012334726931538579,0.03554495019500045,
0,14.0,100.0,1.0,7.0,income data,income,0.8192704213336935,-0.6575555953185996,-0.08746566523149124,0.020769076659800764,
1,14.0,200.0,1.0,7.0,income data,income,1.070580850736642,-0.37324718840486226,-0.012967578468190522,0.08405912979212143,
2,14.0,300.0,1.0,7.0,income data,income,1.4897580645003021,-0.35726696978104044,0.0013461398497836097,0.08036033586282187,
3,14.0,400.0,1.0,7.0,income data,income,1.7048475621632295,-0.25536933383164395,-0.014788819624245702,0.05759376644673891,
4,14.0,500.0,1.0,7.0,income data,income,1.8702884632771095,-0.22941286678614642,-0.009715507222343147,0.05245971413288531,
